Item,Price,Rating,Number_of_reviews,Status,Image_link
"CRUA 24"" 165Hz/180Hz Curved Gaming Monitor - FHD 1080P Frameless Computer Monitor, AMD FreeSync, Low Motion Blur,DP&HDMI Port, Black",104.$.89,4.6,2142,,./New in Tech - Walmart.com_files/CRUA-24-165Hz-180Hz-Curved-Gaming-Monitor-FHD-1080P-Frameless-Computer-Monitor-AMD-FreeSync-Low-Motion-Blur-DP-HDMI-Port-Black_7c41d522-039f-48d7-872a-adea8e0618a7.1c88c15f60acfb1307a5f803234.jpeg
HP 14 inch Laptop Intel Core i3-N305 8GB RAM 256GB SSD Moonlight Blue,279.$.00,4.5,205,,./New in Tech - Walmart.com_files/3c814651-0efa-4e3c-9598-efb385991581.8bd1455c08963f272709c63b7f0dbf40.jpeg
"Ecomoment Wireless Gaming Headset for PS5, PS4, PC, Switch, Mac with Bluetooth 5.2, 2.4GHz USB Gaming Headphones with Detachable Noise Canceling Mic,Stereo Sound,3.5mm Wired Mode for Xbox Series,White",37.$.39,4.8,975,,./New in Tech - Walmart.com_files/Ecomoment-Wireless-Gaming-Headset-PS5-PS4-PC-Switch-Mac-Bluetooth-5-2-2-4GHz-USB-Headphones-Detachable-Noise-Canceling-Mic-Stereo-Sound-3-5mm-Wired-M_90260281-73fe-4c3e-bfeb-3ab947cafe48.5e637.png
Apple Watch Series 9 With Blood Oxygen. GPS + Cellular 45mm Midnight Aluminum Case with Midnight Sport Band - M/L.,429.$.00,4.6,704,,./New in Tech - Walmart.com_files/Apple-Watch-Series-9-With-Blood-Oxygen-GPS-Cellular-45mm-Midnight-Aluminum-Case-with-Midnight-Sport-Band-M-L_907628db-b65a-4897-b094-936f3d0be248.51afbace6819e27f8f0ff20aedeb987b.jpeg
Beats Studio Pro Wireless Headphones - Black,249.$.00,4.6,425,,./New in Tech - Walmart.com_files/Beats-by-Dr-Dre-Studio-Pro-Wireless-Noise-Cancelling-Over-Ear-Headphones-Black_482fa5f9-4478-43a6-84ef-5abc2de71109.2d23bdd7708ce99a60e99d6a3750171c.png
HP 15.6 inch Laptop Intel Processor N200 4GB RAM 128GB UFS Scarlet Red (12-mo. Microsoft 365 included),219.$.00,4,2553,,./New in Tech - Walmart.com_files/HP-15-6-inch-Laptop-Intel-Processor-N200-4GB-RAM-128GB-UFS-Scarlet-Red-12-mo-Microsoft-365-included_c0297e29-0115-409f-aa99-55fc1cc11a42.52e867f5cebda83db7fbead6954655d3.jpeg
"Gawfolk 27 inch Curved Monitor 100hz, PC White Computer Gaming Monitor FHD 1080P, 1800R, Frameless, Built-in Speakers",109.$.19,4.7,1074,,./New in Tech - Walmart.com_files/Gawfolk-27-inch-Curved-Monitor-100hz-PC-White-Computer-Gaming-Monitor-FHD-1080P-1800R-Frameless-Built-in-Speakers_255b893a-0b49-413c-8473-a6e696552603.72a0a07e15398a2a2654b614e1984d2f.jpeg
SAMSUNG 55 Class DU7200B Crystal UHD 4K Smart TV UN55DU7200BXZA 2024,378.$.00,4.6,197,,./New in Tech - Walmart.com_files/891102a4-7ead-43bb-b972-cf8e6f8acbc2.7a23d9f97bf2e3859ce90ec27e06f838.jpeg
"VIZIO 50"" Class 4K UHD LED HDR Smart TV (New) V4K50M-08",238.$.00,4.3,145,,./New in Tech - Walmart.com_files/4ee39d11-1221-4565-a907-26e7a47d6ed8.20766af67ece593d4adaefd5fc6586b9.jpeg
"VIZIO 65"" Class 4K UHD LED HDR Smart TV (New) V4K65M-0804",378.$.00,4.5,67,,./New in Tech - Walmart.com_files/9d2c0857-1a14-42ff-8aea-1ade44f9ac82.88f134a61a802892d9348449cbf8a72e.jpeg
"Samsung Galaxy S24 Ultra 256GB Unlocked Android Cell Phone with 200MP Camera, Titanium Black","1,045.$.00",4.8,2215,,./New in Tech - Walmart.com_files/1de7e163-7269-403f-a4ab-d4c9d1baa52a.4442bb71808d2d9f81ea75a3180b6a20.jpeg
"SAMSUNG 55"" Class Q60DB QLED 4K Smart TV QN55Q60DBFXZA 2024",,4.9,48,,./New in Tech - Walmart.com_files/db6a810e-24c6-4d54-99e9-eb68740998bd.118ae917313a4f37650fbe5dff3c711c.jpeg
Apple Watch Series 9 With Blood Oxygen. GPS 41mm Midnight Aluminum Case with Midnight Sport Band - S/M.,299.$.00,4.7,2096,,./New in Tech - Walmart.com_files/Apple-Watch-Series-9-With-Blood-Oxygen-GPS-41mm-Midnight-Aluminum-Case-with-Midnight-Sport-Band-S-M_b38485c6-7a6d-4858-abba-19fdf2df4080.a04077e77d6bcfc2a36158dbe6ca0acd.jpeg
"Samsung Galaxy Watch6 Classic Smart Watch, 47mm, Large, Bluetooth, Black",275.$.72,4.7,1949,,./New in Tech - Walmart.com_files/Samsung-Galaxy-Watch6-Classic-47mm-Smart-Watch-w-Bluetooth-Stainless-Steel-Black-International-Model_43db6fe4-8735-4654-b66d-71a24a9e53c0.81d99e71286098b2814a5da72edcd8a6.jpeg
"UHM Wireless Gaming Headset for PC/PS4/PS5/ Nintendo Switch, Over Ear 2.4G/Bluetooth Gaming Headphones with Noise-Canceling Microphone, 7.1 Surround Sound, 3.5mm Wired Mode for Xbox Series, Black",37.$.79,4.1,227,,./New in Tech - Walmart.com_files/UHM-Wireless-Gaming-Headset-PC-PS4-PS5-Nintendo-Switch-Over-Ear-2-4G-Bluetooth-Headphones-Noise-Canceling-Microphone-7-1-Surround-Sound-3-5mm-Wired-M_dce06695-435e-4d13-88e0-4ea4a648b524.5e52c.png
SAMSUNG 75 Class DU7200B Crystal UHD 4K Smart TV UN75DU7200BXZA 2024,698.$.00,4.6,179,,./New in Tech - Walmart.com_files/a10b1cec-7993-4c93-8714-1cf6072cd4e0.b5da59b7e8ca6f3e3cb35124aea124d0.jpeg
"eufy Security Solo Indoor-Cam C220 Wired 2K Surveillance Camera, 24/7 Recording, AI Human Detection",29.$.98,4.7,34,,./New in Tech - Walmart.com_files/ddd123ee-e574-4c5f-86a8-5bfaa07e3f70.7e59541eec6461a0136c27bc5192cc10.jpeg
"Hisense 55-Inch Class U6 Series Mini-LED ULED 4K UHD Google Smart TV (55U6N) - QLED Quantum Dot Color, Dolby Vision, Full Array Local Dimming, Game Mode Plus",448.$.00,4.8,11,,./New in Tech - Walmart.com_files/647970a5-96f8-40be-9594-06f137a434ba.e431170283a13cd93207ea5861ce7172.jpeg
"Philips 40"" Class FHD (1080p) Roku Smart LED TV (40PFL6533/F7) (New)",148.$.00,4.7,1600,,./New in Tech - Walmart.com_files/16e3d07e-4257-48f8-9643-fb550c86a795.32860b1664a66c856df8b30fa3e444f9.jpeg
"Samsung Galaxy Watch6 40mm Smart Watch w/ Bluetooth, Armor Aluminum, Graphite",211.$.72,4.5,1215,,./New in Tech - Walmart.com_files/Samsung-Galaxy-Watch6-40mm-Smart-Watch-w-Bluetooth-Armor-Aluminum-Graphite_046d3c4c-b224-4c2a-a128-389b86e7b74c.598ad616af6f8111ead164fa85c911ff.png
"Razer Barracuda X Wireless Gaming Headset for PC, PS5, PS4, NS, Mobile, 2.4GHz, Bluetooth, 250g, White",79.$.99,4.5,74,,./New in Tech - Walmart.com_files/Razer-Barracuda-X-Wireless-Gaming-Headset-for-PC-PS5-PS4-NS-Mobile-2-4GHz-Bluetooth-250g-White_3b33d1b7-db53-4c7e-8ae6-eb8f1e34e41c.f3090b8f43bf9b2415b2316c093eacb9.jpeg
SAMSUNG 65 Class DU7200B Crystal UHD 4K Smart TV UN65DU7200BXZA 2024,498.$.00,4.6,217,,./New in Tech - Walmart.com_files/a10b1cec-7993-4c93-8714-1cf6072cd4e0.b5da59b7e8ca6f3e3cb35124aea124d0.jpeg
"KOORUI 22 Inch 75Hz 99%sRGB LED Computer Monitor,Full HD 1920 x 1080 Office Monitor, VA Desktop Display, HDMI VGA Ports,Vision Care,22N1",69.$.99,4.2,203,,./New in Tech - Walmart.com_files/KOORUI-22-Inch-75Hz-99-sRGB-LED-Computer-Monitor-Full-HD-1920-x-1080-Office-Monitor-VA-Desktop-Display-HDMI-VGA-Ports-Vision-Care-22N1_d10e3bd0-4721-4914-b244-ab00f1048684.a54c0d5b389e0332e45.jpeg
"SAMSUNG 65"" Class Q60DB QLED 4K Smart TV QN65Q60DBFXZA 2024",,4.8,51,,./New in Tech - Walmart.com_files/db6a810e-24c6-4d54-99e9-eb68740998bd.118ae917313a4f37650fbe5dff3c711c.jpeg
Beats Studio3 Wireless Noise Cancelling Headphones with Apple W1 Headphone Chip- Matte Black,159.$.00,4.7,8389,,./New in Tech - Walmart.com_files/Beats-Studio3-Wireless-Noise-Cancelling-Headphones-with-Apple-W1-Headphone-Chip-Matte-Black_1e0cc20c-9ce5-4c46-8d43-5b3137f2f804.f48ebfada13d181d181756c2ac9ab882.jpeg
